ID,Place,Postcode,Address,ATM Type,Location Type,Line Capacity,Migration,KeyHolder / SVA,Total Location,Latitude,Longitude
S1W445,AALTEN,7121 BA,BREDEVOORTSESTRAATWEG 15,4560,OP,3G (Mobile),MANUAL - 3G Mobile,Keyholder,"Netherlands, AALTEN, BREDEVOORTSESTRAATWEG 15",51.9278087,6.5828005
S1V257,AALSMEER,1431 ED,ZIJDSTRAAT 46A,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, AALSMEER, ZIJDSTRAAT 46A",52.268465,4.7470929
S1C495,AALSMEER,1431 ED,ZIJDSTRAAT 46A,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, AALSMEER, ZIJDSTRAAT 46A",52.268465,4.7470929
S1W416,ABCOUDE,1391 BT,HOOGSTRAAT 18,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, ABCOUDE, HOOGSTRAAT 18",52.2712213,4.9743532
S1M453,ALBLASSERDAM,2951 GC,HAVEN 1,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, ALBLASSERDAM, HAVEN 1",51.8609384,4.6597312
S1B473,ALKMAAR,1811 KA,BAGIJNENSTRAAT 2,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ALKMAAR, BAGIJNENSTRAAT 2",52.6329386,4.7426374
S1I426,ALKMAAR,1811 KA,BAGIJNENSTRAAT 2,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ALKMAAR, BAGIJNENSTRAAT 2",52.6329386,4.7426374
S1V234,ALKMAAR,1811 KA,BAGIJNENSTRAAT 2,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ALKMAAR, BAGIJNENSTRAAT 2",52.6329386,4.7426374
S1H498,ALKMAAR,1811 KA,BAGIJNENSTRAAT 2,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ALKMAAR, BAGIJNENSTRAAT 2",52.6329386,4.7426374
S1M497,ALKMAAR,1825 SH,EUROPABOULEVARD 154,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, ALKMAAR, EUROPABOULEVARD 154",52.654843,4.7569777
S1M448,ALKMAAR,1825 SH,EUROPABOULEVARD 154,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, ALKMAAR, EUROPABOULEVARD 154",52.654843,4.7569777
S1D222,ALKMAAR,1811 JB,LANGESTRAAT 51,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ALKMAAR, LANGESTRAAT 51",52.6311273,4.7478138
S1Y275,ALKMAAR,1811 KH,PAARDENMARKT 2,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ALKMAAR, PAARDENMARKT 2",52.6336691,4.7452421
S1N492,ALKMAAR,1813 BA,VONDELSTRAAT 57,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ALKMAAR, VONDELSTRAAT 57",52.6196967,4.7474246
S1C203,ALKMAAR,1814 GR,WENDELAARSTRAAT 1,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ALKMAAR, WENDELAARSTRAAT 1",52.6196415,4.7364203
S1N443,ALKMAAR,1815 JD,WILHELMINALAAN 12,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ALKMAAR, WILHELMINALAAN 12",52.6286703,4.7370986
S1Y208,ALMERE STAD,1315 TN,BORDES 5,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ALMERE STAD, BORDES 5",52.3690812,5.2185119
S1M449,ALMERE STAD,1315 TN,BORDES 5,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ALMERE STAD, BORDES 5",52.3690812,5.2185119
S1J410,ALMERE STAD,1315 TN,BORDES 5,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ALMERE STAD, BORDES 5",52.3690812,5.2185119
S1M499,ALMERE STAD,1315 TN,BORDES 5,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ALMERE STAD, BORDES 5",52.3690812,5.2185119
